,RANK,SCHOOL,Link,TOWN,TYPE,A_LEVEL,A_LEVEL_1,A_LEVEL_2,A_LEVEL_3,GCSE,GCSE_1,Type,desc,address,address_revised,long,lat,gender_age,Annual fees,Annual fee average,Inspection rating,Gender,students_n,website,fee,boarding_fee,boys,girls,6_form,mixed,day_fee,annual_fee,day,boarding
266,266,"Loreto Grammar School, Altrincham",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/84105/table/34/loreto-grammar-school-altrincham,Altrincham,Selective (100%),12.3,42.4,75.2,63=,69.1,54=,State,"Loreto Grammar School is located in Trafford. Pupils must sit an entrance exam to enter, ... It is part of the worldwide Loreto community, and the Altrincham school ...","Dunham Rd, Cheshire, Altrincham WA14 4AH","Dunham Road, Altrincham, Cheshire, WA14 4AH",53.3886609,-2.357444107,Girls (11 to 18),,,,,"1,068",www.loretogrammar.co.uk,,,0,1,0,0,0,0,1,
267,267,The London Oratory School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83838/table/34/the-london-oratory-school,London,Comprehensive,13.4,42.4,73,82=,47.6,148,State,"The London Oratory School, also known as ""The Oratory"" or ""The London Oratory"" to distinguish it from other schools, is a Catholic secondary school for boys ...","Seagrave Rd, London SW6 1QA","Seagrave Road, Fulham, London, SW6 1RX",51.4821513,-0.194135976,Boys (7 to 18). Mixed sixth form,,,,,"1,359",www.london-oratory.org,,,1,0,1,0,0,0,1,
268,268,Caistor Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83719/table/34/caistor-grammar-school,Caistor,Selective (100%),12.4,42.4,67.9,126,62.4,81,State,"Caistor Grammar School is a selective school with academy status in the English town of Caistor in the county of Lincolnshire, England.","Caistor, Market Rasen LN7 6QJ","Church Street, Caistor, Lincolnshire, LN7 6QJ",53.4969506,-0.320163603,Mixed (11 to 18). Mixed sixth form,,,,,678,www.caistorgrammar.com,,,0,0,1,1,0,0,1,
269,269,Forest School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82286/table/33/forest-school,London,,15.7,42.2,69.6,204,73.2,93,Private,"Forest School is a child-centred inspirational learning process, that offers opportunities for holistic growth through regular sessions. It is a long-term ...",", Walthamstow, Greater London, England","College Place, Snaresbrook, London, E17 3PY",51.58784995,0.014790675,"Mixed pre-prep, taught separately 7-16 (4 to 18). Mixed sixth form",,,,,"1,463 (4-18)",www.forest.org.uk,"Day K &pound 6,980 (11-18) includes lunch",,0,0,1,0,6980,20940,1,
270,270,Bablake School (now Bablake and King Henry VIII School),https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82566/table/33/bablake-school-now-bablake-and-king-henry-viii-school,Coventry,,12.4,42,72.8,176=,73,94=,Private,"14 Jan 2021 — The Foundation have said that the Bablake and King Henry VIII names will be preserved, with pupils aged 4 to 11 based at the Coventry School ...","Coundon Road, Bablake
Coventry, West Midlands, England","Coundon Road, Coventry, West Midlands, CV1 4AU",52.41385471,-1.520786198,Mixed (3 to 18). Mixed sixth form,,,,,761 (11-18),https://www.bkhs.org.uk,"Day K &pound 4,220 (11-18)",,0,0,1,1,4220,12660,1,
271,271,Northwood College for Girls GDST,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82207/table/33/northwood-college-for-girls-gdst,Northwood,,13,41.9,71.3,190,72.2,100,Private,,"Maxwell Rd, London HA6 2YE","Maxwell Road, Northwood, Middlesex, HA6 2YE",51.6098,0.4279,Girls (3 to 18),,,,,852 (3-18),www.northwoodcollege.gdst.net,"Day K &pound 6,194 - K &pound 6,240 (11-18) includes lunch",,0,1,0,0,6240,18720,1,
272,272,Bexley Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83884/table/34/bexley-grammar-school,Welling,Selective (100%),13.4,41.9,67.4,137=,53.9,125=,State,"Bexley Grammar School is a co-educational grammar school with academy status in Welling, in the London Borough of Bexley, UK. It takes boys and girls aged ...","Danson Ln, Welling DA16 2BL","Danson Lane, Welling, Kent, DA16 2BL",51.45594435,0.109890051,Mixed (11 to 18). Mixed sixth form,,,,,"1,429",www.bexleygs.co.uk,,,0,0,1,1,0,0,1,
273,273,Emanuel School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82473/table/33/emanuel-school,London,,14,41.8,76.9,137=,70.6,108=,Private,"Exceptional nursery and primary education with a Christian ethos in a small, very friendly environment where children are nurtured and educated holistically ...","Battersea Rise, London, , England","Battersea Rise, London, SW11 1HS",51.45685845,-0.17350549,Mixed (10 to 18). Mixed sixth form,,,,,"1,053 (10-18)",www.emanuel.org.uk,"Day K &pound 6,715 (10-18) includes lunch",,0,0,1,1,6715,20145,1,
274,274,Methodist College Belfast,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/84106/table/34/methodist-college-belfast,Belfast,Selective (100%),14.8,41.8,73.5,79,59.9,93,State,"Methodist College Belfast (MCB), locally known as Methody, is a co-educational voluntary grammar school in Belfast, located at the foot of the Malone Road, ...","1 Malone Rd, Belfast BT9 6BY","1 Malone Road, Belfast, Northern Ireland, BT9 6BY",54.58347475,-5.94005348,Mixed (11 to 18). Mixed sixth form,,,,,"1,810",www.methody.org,,,0,0,1,1,0,0,1,
275,275,Blundell's School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82495/table/33/blundells-school,Tiverton,,-,41.8,67.9,228,51,238,Private,"Blundell's School is a co-educational day and boarding independent school in the English public school tradition, located in Tiverton, Devon.","Blundell's Rd, Tiverton EX16 4DN","Tiverton, Devon, EX16 4DN",50.9081433,-3.462795451,Mixed (2 to 18). Mixed sixth form,,,,,615 (11-18),www.blundells.org,"Day K &pound 5,045 - K &pound 8,005 (11-18) includes lunch","Boarding K &pound 5,840 - K &pound 12,995 (11-18)",0,0,1,1,8005,24015,1,1
276,276,Queen Elizabeth Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82291/table/33/queen-elizabeth-grammar-school,Wakefield,,18.4,41.8,66.9,234,56.4,213=,Private,"The QEGS Vision ... We care, therefore we question, we explore, we give and as a result, we succeed. Proud to be part of the. QEGSMAT.",", Wakefield, West Yorkshire, England","154 Northgate, Wakefield, West Yorkshire, WF1 3QX",53.68848715,-1.501383044,"Boys, mixed pre-prep (3 to 18)",,,,,886 (11-18),www.wgsf.org.uk,"Day K &pound 4,511 - K &pound 4,556 (11-18) includes lunch",,1,0,0,0,4556,13668,1,
277,277,Bruton School for Girls,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/86687/table/33/bruton-school-for-girls,Bruton,,15.2,41.8,63,267=,59.2,185=,Private,"Bruton School for Girls was an independent day and boarding school for girls aged 2 to 18 located near Pitcombe in Bruton in south east Somerset, England.","Sunny Hill, Bruton BA10 0NT","Sunny Hill, Bruton, Somerset, BA10 0NT",51.0991028,-2.467851369,"Girls, mixed pre-prep (3 to 18)",,,,,178 (3-18),www.brutonschool.co.uk,"Day K &pound 6,232 (11-18) includes lunch","Boarding K &pound Contact school - K &pound 10,616 (11-18)",0,1,0,0,6232,18696,1,1
278,278,The Wallace High School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83815/table/34/the-wallace-high-school,Lisburn,Selective (100%),12.9,41.7,76.3,58=,51.6,134=,State,3 days ago — Welcome to Wallace High School – a modern Scottish comprehensive situated at the heart of historic Stirling. We are a community of c.,"12a Clonevin Park, Lisburn BT28 3AD","12a Clonevin Park, Lisburn, Northern Ireland, BT28 3AD",54.51801639,-6.050280747,Mixed (11 to 18). Mixed sixth form,,,,,"1,168",www.wallacehigh.org,,,0,0,1,1,0,0,1,
279,279,Parkstone Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83712/table/34/parkstone-grammar-school,Poole,Selective (100%),14.7,41.7,71.6,102,58.1,103,State,,"Parkstone Grammar School, Sopers Ln, Poole BH17 7EP","Sopers Lane, Poole, Dorset, BH17 7EP",50.7454366,-1.987285328,Girls (11 to 18),,,,,"1,244",www.parkstone.poole.sch.uk,,,0,1,0,0,0,0,1,
280,280,Twyford C of E High School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83948/table/34/twyford-c-of-e-high-school,London,Partially selective (10%),15.5,41.6,72.4,92,42.9,167,State,"Twyford C of E High School is a co-educational Church of England Academy school located in Acton, west London. It consists of just under 1500 pupils aged ...","Twyford Cres, London W3 9PP","Twyford Crescent, Acton, London, W3 9PP",51.5092348,-0.2787002,Mixed (11 to 18). Mixed sixth form,,,,,"1,521",www.twyford.ealing.sch.uk,,,0,0,1,1,0,0,1,
281,281,Aylesbury High School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83710/table/34/aylesbury-high-school,Aylesbury,Selective (100%),12.8,41.6,70.5,109,70.8,45,State,"Aylesbury High School, Aylesbury, Buckinghamshire. 360 likes · 23 talking about this. Aylesbury High School is a leading girls' Grammar School in...","Walton Rd, Aylesbury HP21 7SX","Walton Road, Aylesbury, Buckinghamshire, HP21 7SX",51.8115904,-0.801699754,Girls (11 to 18),,,,,"1,293",www.ahs.bucks.sch.uk,,,0,1,0,0,0,0,1,
282,282,Wakefield Girls' High School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82600/table/33/wakefield-girls-high-school,Wakefield,,11.6,41.5,69.2,210,67.8,132=,Private,Wakefield Girls' High School Junior Girls (7-11 years) Senior Girls (11-18 years). Queen Elizabeth Grammar School Junior Boys (7-11 years),"Wentworth St, Wakefield WF1 2QS","Wentworth Street, Wakefield, West Yorkshire, WF1 2QS",53.6930374,-1.502179551,"Girls, mixed nursery (3 to 18)",,,,,638 (11-18),www.wgsf.org.uk,"Day K &pound 4,511 - K &pound 4,556 (11-18) includes lunch",,0,1,0,0,4556,13668,1,
283,283,The Royal Masonic School for Girls,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/87470/table/33/the-royal-masonic-school-for-girls,Rickmansworth,,13.8,41.5,66.7,235=,56.5,211=,Private,"The Royal Masonic School for Girls (RMS) is an independent school in Rickmansworth, Hertfordshire, England, with day and boarding pupils.","Rickmansworth Park, Rickmansworth WD3 4HF","Rickmansworth Park, Rickmansworth, Hertfordshire, WD3 4HF",51.6419065,-0.470555393,"Girls, mixed nursery (2 to 18)",,,,,"1,011 (2-18)",www.rmsforgirls.com,"Day K &pound 6,365 - K &pound 6,426 (11-18) includes lunch","Boarding K &pound 10,203 - K &pound 11,066 (11-18)",0,1,0,0,6426,19278,1,1
284,284,Wycombe High School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83721/table/34/wycombe-high-school,High Wycombe,Selective (100%),12,41.3,73.8,75,70.3,48=,State,"Wycombe High School is a highly successful and very popular girls' grammar school located in the south of Buckinghamshire. The school is housed on a large, ...","Marlow Rd, High Wycombe HP11 1TB","Marlow Road, High Wycombe, Buckinghamshire, HP11 1TB",51.62028225,-0.761547823,Girls (11 to 18),,,,,"1,303",www.whs.bucks.sch.uk,,,0,1,0,0,0,0,1,
285,285,Streatham and Clapham High School GDST,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82297/table/33/streatham-and-clapham-high-school-gdst,Streatham,,15.2,41.3,72.8,176=,68.7,125,Private,,"42 Abbotswood Rd, London SW16 1AW","42 Abbotswood Road, Streatham, Streatham, SW16 1AW",51.4351,0.1381,Girls (3 to 18),,,,,813 (3-18),www.schs.gdst.net,"Day K &pound 6,260 (11-18)",,0,1,0,0,6260,18780,1,
286,286,Bede's Senior School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82501/table/33/bedes-senior-school,Hailsham,,11.7,41.3,71.7,188,39.9,305,Private,"Bede's School consists of a preparatory school and pre-preparatory nursery in Holywell, Meads, Eastbourne, East Sussex, England, as well as a senior school ...","Upper Dicker, Hailsham BN27 3QH","Upper Dicker, Hailsham, East Sussex, BN27 3QH",50.867,0.203,Mixed (0 to 18). Mixed sixth form,"GBP 24,900–24,900","GBP 25,000",Excellent,Co-educational,749 (13-18),www.bedes.org,"Day K &pound 7,800 (13-18) includes lunch","Boarding K &pound 11,700 - K &pound 12,450 (13-18)",0,0,1,1,7800,23400,1,1
287,287,Bournemouth School for Girls,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83753/table/34/bournemouth-school-for-girls,Bournemouth,Selective (100%),12.2,41.2,72.6,88=,65,73,State,"Bournemouth School for Girls is a grammar academy school located in Bournemouth, Dorset, England. It is a girls grammar school and sixth form college, ...","Castle Gate Cl, Bournemouth BH8 9UJ","Castle Gate Close, Castle Lane West, Bournemouth, Dorset, BH8 9UJ",50.7508386,-1.852164973,Girls (11 to 18),,,,,"1,196",www.bsg.bournemouth.sch.uk,,,0,1,0,0,0,0,1,
288,288,Merchant Taylors' Boys' School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82581/table/33/merchant-taylors-boys-school,Liverpool,,14.4,41.2,67,233,56.3,215,Private,MTS is an academically selective boys day School based in Moor Park.,"Moor Farm Bungalow, Sandy Lodge Rd, Rickmansworth WD3 1LW","Liverpool Road, Crosby, Liverpool, L23 0QP",53.48275115,-3.024493938,"Boys, mixed pre-prep (4 to 18)",,,,,620 (7-18),www.merchanttaylors.com,"Day K &pound 4,028 (11-18)",,1,0,0,0,4028,12084,1,
289,289,JCoSS (Jewish Community Secondary School),https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/88290/table/34/jcoss-jewish-community-secondary-school,New Barnet,Comprehensive,14.1,41.1,71.2,104,43.6,165,State,"The Jewish Community Secondary School (JCoSS) is a state-funded Jewish secondary school in New Barnet, London. Established in 2010, it is the first ...","Castlewood Rd, Barnet EN4 9GE","Castlewood Road, New Barnet, London, EN4 9GE",51.65631585,-0.169991916,Mixed (11 to 18). Mixed sixth form,,,,,"1,333",www.jcoss.org,,,0,0,1,1,0,0,1,
290,290,Ratcliffe College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82417/table/33/ratcliffe-college,Leicester,,14.2,41.1,68.6,218=,45,278,Private,"Ratcliffe College is a coeducational Catholic independent boarding and day school near the village of Ratcliffe on the Wreake, Leicestershire, ...","Fosse Way, Ratcliffe on the Wreake, Leicester LE7 4SG","Fosse Way, Ratcliffe on the Wreake, Leicester, LE7 4SG",52.72985622,-1.075497702,Mixed (3 to 18). Mixed sixth form,,,,,832 (3-18),https://www.ratcliffecollege.com,"Day K &pound 4,903 - K &pound 5,782 (11-18) includes lunch","Boarding K &pound 7,411 - K &pound 9,304 (11-18)",0,0,1,1,5782,17346,1,1
291,291,Leweston School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82222/table/33/leweston-school,Sherborne,,15.7,41.1,64.7,256,48.6,256,Private,"Leweston School is an independent day and boarding school near Sherborne in Dorset, England. Co-educational in the Nursery and Preparatory School and ...","Leweston School, Sherborne DT9 6EN","Sherborne, Dorset, DT9 6EN",50.9091745,-2.517932748,"Mixed, taught separately 13-15 (0 to 18). Mixed sixth form",,,,,548 (0-18),www.leweston.co.uk,"Day K &pound 5,452 (11-18) includes lunch","Boarding K &pound 6,019 - K &pound 9,823 (11-18)",0,0,1,0,5452,16356,1,1
292,292,Langley Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83754/table/34/langley-grammar-school,Langley,Selective (100%),12.2,41,72.2,96,64,75,State,,"Reddington Dr, Langley, Slough SL3 7QS","Reddington Drive, Langley, Berkshire, SL3 7QS",51.4983819,-0.552447344,Mixed (11 to 18). Mixed sixth form,,,,,"1,212",www.lgs.slough.sch.uk,,,0,0,1,1,0,0,1,
293,293,Lingfield College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82380/table/33/lingfield-college,Lingfield,,11.9,41,69.5,205=,63.6,157,Private,"Lingfield College is an independent day school situated in Lingfield in the English county of Surrey, for pupils aged two to eighteen.","St Pier's Ln, Dormansland, Lingfield RH7 6PH","St Pier's Lane, Lingfield, Surrey, RH7 6PN",51.17203575,-0.004146988,Mixed (2 to 18). Mixed sixth form,,,,,899 (2-18),www.lingfieldnd.co.uk,"Day K &pound 5,840 - K &pound 5,940 (11-18) includes lunch",,0,0,1,1,5940,17820,1,
294,294,Watford Grammar School for Boys,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83756/table/34/watford-grammar-school-for-boys,Watford,Partially selective (35%),15.5,40.9,69.8,111,54.3,123=,State,"Watford Grammar School for Boys (commonly abbreviated as WBGS) is a partially selective academy for boys in Watford in Hertfordshire, England.","Rickmansworth Rd, Watford WD18 7JF","Rickmansworth Road, Watford, Hertfordshire, WD18 7JF",51.65548675,-0.415248564,Boys (11 to 18),,,,,"1,456",www.watfordboys.org,,,1,0,0,0,0,0,1,
295,295,Truro School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82333/table/33/truro-school,Truro,,14,40.9,69.3,208=,56.5,211=,Private,"Award-winning all-girls' independent day and boarding school in Truro, Cornwall UK. Small Independent School of the Year 2020. Shortlisted for Girls' School ...","Trennick Ln, Truro TR1 1TH","Trennick Lane, Truro, Cornwall, TR1 1TH",50.26013685,-5.040441249,Mixed (3 to 18). Mixed sixth form,,,,,839 (11-18),www.truroschool.com,"Day K &pound 4,995 (11-18) includes lunch","Boarding K &pound 8,525 - K &pound 9,925 (11-18)",0,0,1,1,4995,14985,1,1
296,296,Cheadle Hulme High School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/87952/table/34/cheadle-hulme-high-school,Stockport,Comprehensive,11.9,40.7,73.4,80,34.2,241,State,"Cheadle Hulme High School is an 11–18 mixed secondary school and sixth form with academy status in Cheadle Hulme, Cheadle, Stockport.","Woods Ln, Cheadle Hulme, Cheadle SK8 7JY","Woods Lane, Cheadle Hulme, Stockport, Cheshire, SK8 7JY",53.3649765,-2.186948148,Mixed (11 to 18). Mixed sixth form,,,,,"1,664",www.chhs.org.uk,,,0,0,1,1,0,0,1,
297,297,"Queen Anne's, Caversham",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82368/table/33/queen-annes-caversham,Caversham,,12.5,40.6,68.3,222=,61,178,Private,"Queen Anne's School is an independent boarding and day school for girls aged 11 to 18, situated in the suburb of Caversham just north of the River Thames ...","6 Henley Rd, Reading RG4 6DX","Henley Road, Caversham, Caversham, Berkshire, RG4 6DX",51.47103065,-0.964935858,Girls (11 to 18),,,,,421 (11-18),www.qas.org.uk,"Day K &pound 8,370 (11-18)","Boarding K &pound 12,250 - K &pound 13,590 (11-18)",0,1,0,0,8370,25110,1,1
298,298,Durham High School for Girls,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82535/table/33/durham-high-school-for-girls,Durham,,15.3,40.6,66.4,239=,55.8,218,Private,"Durham High School is a leading Independent Day School for girls aged 3 - 18. Page · Secondary school. Farewell Hall, South Road, Durham, United Kingdom.","Farewell Hall, South Rd, Durham DH1 3TB","Farewell Hall, South Road, Durham, DH1 3TB",54.7563666,-1.586879098,Girls (3 to 18),,,,,348 (3-18),www.dhsfg.org.uk,"Day K &pound 4,760 - K &pound 4,835 (11-18)",,0,1,0,0,4835,14505,1,
299,299,Fortismere School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/86557/table/34/fortismere-school,London,Comprehensive,13.2,40.5,72.3,93=,42.2,170,State,"Fortismere School (simply referred to as Fortismere) is a coeducational secondary school and sixth form located in Muswell Hill, Greater London, England.","Tetherdown, Muswell Hill, London N10 1NE","Tetherdown, Muswell Hill, London, N10 1NE",51.59343555,-0.152546567,Mixed (11 to 18). Mixed sixth form,,,,,"1,823",www.fortismere.haringey.sch.uk,,,0,0,1,1,0,0,1,
300,300,St Benedict's School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/86720/table/33/st-benedicts-school,Ealing,,13.3,40.4,72.3,182=,60.3,179=,Private,"St Benedict's is London's leading independent, Catholic, co-educational school, combining strong academic standards with outstanding personal development.","Eaton Rise, Ealing, London, , United Kingdom","54 Eaton Rise, Ealing, Ealing, W5 2ES",51.52084595,-0.307549106,Mixed (3 to 18). Mixed sixth form,,,,,"1,070 (3-18)",www.stbenedicts.org.uk,"Day K &pound 6,110 (11-18)",,0,0,1,1,6110,18330,1,
301,301,Cambridge Tutors College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/86684/table/33/cambridge-tutors-college,Croydon,,14.4,40.4,66,241=,38.9,312,Private,Schools · effective experienced teachers · Cambridge and Oxford experts · bespoke student support · Cambridge Tutors is an educational consultancy · Cambridge Tutors ...,"1 Water Tower Hill, Croydon CR0 5SX","Water Tower Hill, Croydon, Surrey, CR0 5SX",51.3671964,-0.090620918,Mixed (14 to 19). Mixed sixth form,,,,,95 (14-19),www.ctc.ac.uk,"Day K &pound 3,200 - K &pound 5,300 (15-19)","Boarding K &pound 5,517 - K &pound 10,965 (15-19)",0,0,1,1,5300,15900,1,1
302,302,Gordon's School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83829/table/34/gordons-school,Woking,Comprehensive,13.2,40.3,73.7,76=,41.5,181=,State,"Gordon's School is a secondary school with academy status in West End near Woking, Surrey, England. It was founded as the Gordon Boys' Home in 1885.","Bagshot Rd, Woking GU24 9PT","West End, Woking, Surrey, GU24 9PT",51.3149793,-0.6274454,Mixed (11 to 18). Mixed sixth form,,,,,922,www.gordons.school,,1,0,0,1,1,0,0,,1
303,303,Sir Thomas Rich's School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83825/table/34/sir-thomas-richs-school,Gloucester,Selective (100%),11.9,40.3,72.8,85,66.4,65=,State,"Sir Thomas Rich's School is a grammar school with academy status for boys (aged 11–18) and girls in Longlevens, Gloucester, England, locally known as ...","Oakleaze, Longlevens, Gloucester GL2 0LF","Oakleaze, Longlevens, Gloucester, Gloucestershire, GL2 0LF",51.8720225,-2.205140822,Boys (11 to 18). Mixed sixth form,,,,,"1,098",www.strschool.co.uk,,,1,0,1,0,0,0,1,
304,304,Dalriada School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83771/table/34/dalriada-school,Ballymoney,Selective (100%),12.5,40.2,77,53=,55.3,117=,State,"Dalriada School, Ballymoney. 4714 likes · 764 talking about this · 700 were here. Dalriada School is a mixed voluntary grammar school in Ballymoney,...","St James Rd, Ballymoney BT53 6BL","St James's Road, Ballymoney, Co Antrim, BT53 6BL",55.07280065,-6.52279579,Mixed (11 to 18). Mixed sixth form,,,,,874,www.dalriadaschool.com,,,0,0,1,1,0,0,1,
305,305,Waldegrave School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82697/table/34/waldegrave-school,Twickenham,Comprehensive,11.2,40.2,72.3,93=,47.7,147,State,Waldegrave School is an outstanding comprehensive school in Twickenham with about 1000 girls age 11 to 16 and about 380 students in our co-ed sixth form.,"Fifth Cross Rd, Twickenham TW2 5LH","Fifth Cross Road, Twickenham, Middlesex, TW2 5LH",51.43905232,-0.351020787,Girls (11 to 18). Mixed sixth form,,,,,"1,463",www.waldegrave.richmond.sch.uk,,,0,1,1,0,0,0,1,
306,306,Ermysted's Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83718/table/34/ermysteds-grammar-school,Skipton,Selective (100%),16.1,40.2,65.9,147,60.5,91,State,"Ermysted's Grammar School is an 11-18 boys voluntary aided grammar school in Skipton, North Yorkshire, England. ... It was founded by Peter Toller in the 15th ...","Gargrave Rd, Skipton BD23 1PL","Gargrave Road, Skipton, North Yorkshire, BD23 1PL",53.9636775,-2.022438452,Boys (11 to 18),,,,,826,https://www.ermysteds.co.uk,,,1,0,0,0,0,0,1,
307,307,Taunton School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82338/table/33/taunton-school,Taunton,,13.4,40.2,64.9,252=,45.2,275=,Private,Taunton School is a co-educational independent school in the county town of Taunton in Somerset in South West England. It serves boarding and day-school pupils ...,"Staplegrove Road, Taunton, Somerset, England","Staplegrove Road, Taunton, Somerset, TA2 6AD",51.0265323,-3.115679289,Mixed (0 to 18). Mixed sixth form,"GBP 8,340–21,930","GBP 15,000",No rating,Co-educational,935 (7-18),www.tauntonschool.co.uk,"Day K &pound 6,960 (13-18)","Boarding K &pound 11,920 - K &pound 12,960 (13-18)",0,0,1,1,6960,20880,1,1
308,308,Mount House School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/87938/table/33/mount-house-school,Barnet,,17.2,40.2,54.4,313,35.5,321,Private,"Mount House School, London, United Kingdom. 167 likes · 17 talking about this. Mount House provides an excellent all-round education for both boys and...","Camlet Way, Barnet EN4 0NJ","Camlet Way, Hadley Wood, Barnet, Hertfordshire, EN4 0NJ",51.66308255,-0.189375118,Mixed (11 to 18). Mixed sixth form,,,,,225 (11-18),www.mounthouse.org.uk,"Day K &pound 5,825 (11-18) includes lunch",,0,0,1,1,5825,17475,1,
309,309,Regent House School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/88287/table/34/regent-house-school,Newtownards,Selective (100%),12.4,40,72.6,88=,50.8,138,State,"Regent House School is a coeducational controlled grammar school in Newtownards, County Down, Northern Ireland. It comprises two parts: the preparatory ...","Circular Road, Newtownards, Down, Northern Ireland","Circular Road, Newtownards, Co Down, BT23 4QA",54.5894962,-5.701341738,Mixed (4 to 18). Mixed sixth form,,,,,"1,550",www.regenthouse.org.uk,,,0,0,1,1,0,0,1,
310,310,Denstone College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82341/table/33/denstone-college,Uttoxeter,,15.7,39.8,69.4,207,46.2,268,Private,"Denstone College is a mixed, independent, boarding and day school in Denstone, Uttoxeter, Staffordshire, England. It is a Woodard School, ...","Denstone, Uttoxeter ST14 5HN","College Road, Uttoxeter, Staffordshire, ST14 5HN",52.8672642,-1.848462266,Mixed (2 to 18). Mixed sixth form,,,,,604 (11-18),www.denstonecollege.org,"Day K &pound 4,758 - K &pound 5,751 (11-18)","Boarding K &pound 6,894 - K &pound 10,015 (11-18)",0,0,1,1,5751,17253,1,1
311,311,Chesham Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83834/table/34/chesham-grammar-school,Chesham,Selective (100%),13.7,39.7,74.2,69,67.6,60,State,"Chesham Grammar School is a co-educational grammar school on White Hill, Chesham, Buckinghamshire. There are about 1,300 pupils aged between eleven and ...","White Hill, Chesham HP5 1BA","White Hill, Chesham, Buckinghamshire, HP5 1BA",51.707758,-0.598659338,Mixed (11 to 18). Mixed sixth form,,,,,"1,316",www.cheshamgrammar.org,,,0,0,1,1,0,0,1,
